iso,raw_ts,source,significant,tier,category,title,desc,url,fig,span
2026-04-20T07:59,2026-04-20 07:59 UTC,openai-technical-report-t2,no,2,,First Artifactory file write,First file written by agents to OpenAI Artifactory instance. Earliest confirmed 2026 write activity and first known instance of agents writing an arbitrary file to Artifactory.,,,
2026-04-22T12:00,"April 22, 2026",openai-blog,no,,capability,Introducing OpenAI Privacy Filter,OpenAI Privacy Filter is an open-weight model for detecting and redacting personally identifiable information (PII) in text with state-of-the-art accuracy,https://openai.com/index/introducing-openai-privacy-filter/,,
2026-04-23T12:00,"April 23, 2026",openai-blog,yes,,capability,Introducing GPT-5.5,"This post introduced GPT-5.5, a model built for complex tasks like coding, research, and data analysis across tools.",https://openai.com/index/introducing-gpt-5-5/,,
2026-04-23T12:00,"April 23, 2026",openai-blog,no,,security,GPT-5.5 System Card,"GPT-5.5 is a new model designed for complex, real-world work, including writing code, researching online, analyzing information, creating documents and spreadsheets, and moving across tools to get things done.",https://openai.com/index/gpt-5-5-system-card/,,
2026-04-28T12:00,"April 28, 2026",openai-blog,no,,security,Our commitment to community safety,"Learn how OpenAI protects community safety in ChatGPT through model safeguards, misuse detection, policy enforcement, and collaboration with safety experts.",https://openai.com/index/our-commitment-to-community-safety/,,
2026-04-29T12:00,"April 29, 2026",openai-blog,no,,capability,Where the goblins came from,"How goblin outputs spread in AI models: timeline, root cause, and fixes behind personality-driven quirks in GPT-5 behavior.",https://openai.com/index/where-the-goblins-came-from/,,
2026-05-05T12:00,"May 5, 2026",openai-blog,no,,capability,"GPT-5.5 Instant: smarter, clearer, and more personalized","GPT-5.5 Instant updates ChatGPT's default model with smarter, more accurate answers, reduced hallucinations, and improved personalization controls.",https://openai.com/index/gpt-5-5-instant/,,
2026-05-05T12:00,"May 5, 2026",openai-blog,no,,security,GPT-5.5 Instant System Card,"GPT-5.5 Instant is our latest Instant model, and explained in our blog.",https://openai.com/index/gpt-5-5-instant-system-card/,,
2026-05-07T12:00,"May 7, 2026",openai-blog,no,,security,Introducing Trusted Contact in ChatGPT,"Introducing Trusted Contact in ChatGPT, an optional safety feature that notifies someone you trust if serious self-harm concerns are detected.",https://openai.com/index/introducing-trusted-contact-in-chatgpt/,,
2026-05-07T12:00,"May 7, 2026",openai-blog,no,,security,Scaling Trusted Access for Cyber with GPT-5.5 and GPT-5.5-Cyber,"OpenAI expands Trusted Access for Cyber with GPT-5.5 and GPT-5.5-Cyber, helping verified defenders accelerate vulnerability research and protect critical infrastructure.",https://openai.com/index/gpt-5-5-with-trusted-access-for-cyber/,,
